Two_theta	Counts
15	81
15.0119	93
15.0239	66
15.0358	67
15.0478	77
15.0597	76
15.0716	84
15.0836	79
15.0955	68
15.1075	74
15.1194	63
15.1313	94
15.1433	79
15.1552	67
15.1672	65
15.1791	71
15.191	70
15.203	93
15.2149	80
15.2269	63
15.2388	73
15.2507	80
15.2627	70
15.2746	69
15.2866	75
15.2985	84
15.3104	68
15.3224	76
15.3343	70
15.3463	81
15.3582	78
15.3701	54
15.3821	80
15.394	67
15.406	67
15.4179	86
15.4299	73
15.4418	70
15.4537	73
15.4657	63
15.4776	60
15.4896	78
15.5015	74
15.5134	66
15.5254	64
15.5373	69
15.5493	68
15.5612	69
15.5731	63
15.5851	73
15.597	62
15.609	72
15.6209	66
15.6328	64
15.6448	68
15.6567	73
15.6687	79
15.6806	76
15.6925	71
15.7045	70
15.7164	72
15.7284	65
15.7403	84
15.7522	61
15.7642	72
15.7761	80
15.7881	68
15.8	66
15.8119	81
15.8239	65
15.8358	83
15.8478	64
15.8597	64
15.8716	73
15.8836	60
15.8955	66
15.9075	56
15.9194	66
15.9313	61
15.9433	63
15.9552	59
15.9672	62
15.9791	67
15.991	74
16.003	67
16.0149	75
16.0269	64
16.0388	74
16.0507	63
16.0627	64
16.0746	59
16.0866	66
16.0985	54
16.1104	71
16.1224	59
16.1343	71
16.1463	60
16.1582	57
16.1702	50
16.1821	72
16.194	59
16.206	52
16.2179	64
16.2299	70
16.2418	68
16.2537	73
16.2657	68
16.2776	71
16.2896	74
16.3015	64
16.3134	55
16.3254	71
16.3373	56
16.3493	51
16.3612	61
16.3731	47
16.3851	52
16.397	61
16.409	54
16.4209	56
16.4328	61
16.4448	66
16.4567	66
16.4687	75
16.4806	54
16.4925	62
16.5045	64
16.5164	63
16.5284	57
16.5403	71
16.5522	59
16.5642	71
16.5761	76
16.5881	59
16.6	64
16.6119	62
16.6239	67
16.6358	59
16.6478	67
16.6597	47
16.6716	70
16.6836	64
16.6955	65
16.7075	60
16.7194	77
16.7313	65
16.7433	77
16.7552	50
16.7672	67
16.7791	56
16.791	60
16.803	56
16.8149	65
16.8269	61
16.8388	67
16.8507	65
16.8627	50
16.8746	53
16.8866	61
16.8985	59
16.9105	40
16.9224	55
16.9343	71
16.9463	82
16.9582	61
16.9702	71
16.9821	75
16.994	72
17.006	63
17.0179	67
17.0299	51
17.0418	62
17.0537	64
17.0657	60
17.0776	47
17.0896	49
17.1015	56
17.1134	64
17.1254	61
17.1373	68
17.1493	55
17.1612	72
17.1731	53
17.1851	65
17.197	60
17.209	71
17.2209	56
17.2328	63
17.2448	55
17.2567	62
17.2687	61
17.2806	49
17.2925	83
17.3045	50
17.3164	49
17.3284	61
17.3403	68
17.3522	60
17.3642	57
17.3761	54
17.3881	69
17.4	42
17.4119	62
17.4239	64
17.4358	48
17.4478	58
17.4597	58
17.4716	66
17.4836	42
17.4955	71
17.5075	56
17.5194	70
17.5313	66
17.5433	65
17.5552	51
17.5672	48
17.5791	72
17.591	62
17.603	70
17.6149	63
17.6269	75
17.6388	47
17.6508	50
17.6627	67
17.6746	53
17.6866	50
17.6985	54
17.7105	56
17.7224	61
17.7343	70
17.7463	54
17.7582	59
17.7702	52
17.7821	61
17.794	61
17.806	56
17.8179	73
17.8299	56
17.8418	66
17.8537	57
17.8657	54
17.8776	50
17.8896	72
17.9015	55
17.9134	61
17.9254	63
17.9373	53
17.9493	57
17.9612	52
17.9731	69
17.9851	56
17.997	53
18.009	62
18.0209	51
18.0328	63
18.0448	48
18.0567	52
18.0687	55
18.0806	67
18.0925	61
18.1045	59
18.1164	63
18.1284	75
18.1403	58
18.1522	68
18.1642	64
18.1761	68
18.1881	57
18.2	61
18.2119	62
18.2239	61
18.2358	55
18.2478	57
18.2597	48
18.2716	64
18.2836	66
18.2955	52
18.3075	63
18.3194	55
18.3313	59
18.3433	55
18.3552	66
18.3672	61
18.3791	55
18.3911	50
18.403	50
18.4149	64
18.4269	71
18.4388	49
18.4508	67
18.4627	60
18.4746	59
18.4866	54
18.4985	64
18.5105	65
18.5224	49
18.5343	60
18.5463	70
18.5582	62
18.5702	60
18.5821	59
18.594	41
18.606	54
18.6179	55
18.6299	78
18.6418	55
18.6537	67
18.6657	62
18.6776	55
18.6896	63
18.7015	64
18.7134	62
18.7254	60
18.7373	70
18.7493	71
18.7612	63
18.7731	56
18.7851	61
18.797	65
18.809	83
18.8209	67
18.8328	53
18.8448	60
18.8567	79
18.8687	67
18.8806	66
18.8925	69
18.9045	70
18.9164	59
18.9284	72
18.9403	51
18.9522	69
18.9642	75
18.9761	82
18.9881	77
19	78
19.0119	71
19.0239	63
19.0358	71
19.0478	75
19.0597	67
19.0716	67
19.0836	82
19.0955	64
19.1075	81
19.1194	63
19.1314	50
19.1433	68
19.1552	60
19.1672	55
19.1791	71
19.1911	68
19.203	65
19.2149	58
19.2269	50
19.2388	73
19.2508	65
19.2627	56
19.2746	78
19.2866	69
19.2985	76
19.3105	56
19.3224	57
19.3343	63
19.3463	58
19.3582	60
19.3702	58
19.3821	56
19.394	78
19.406	73
19.4179	72
19.4299	65
19.4418	66
19.4537	64
19.4657	69
19.4776	63
19.4896	76
19.5015	69
19.5134	76
19.5254	64
19.5373	70
19.5493	65
19.5612	71
19.5731	77
19.5851	76
19.597	68
19.609	85
19.6209	58
19.6328	63
19.6448	77
19.6567	75
19.6687	71
19.6806	70
19.6925	72
19.7045	84
19.7164	78
19.7284	66
19.7403	85
19.7522	71
19.7642	88
19.7761	65
19.7881	85
19.8	70
19.8119	69
19.8239	74
19.8358	80
19.8478	64
19.8597	69
19.8717	88
19.8836	79
19.8955	63
19.9075	76
19.9194	76
19.9314	75
19.9433	69
19.9552	75
19.9672	69
19.9791	81
19.9911	80
20.003	81
20.0149	78
20.0269	101
20.0388	83
20.0508	89
20.0627	72
