Two_theta	Counts
15	70
15.0119	91
15.0239	77
15.0358	74
15.0478	58
15.0597	75
15.0716	94
15.0836	89
15.0955	84
15.1075	86
15.1194	62
15.1313	79
15.1433	85
15.1552	78
15.1672	74
15.1791	76
15.191	74
15.203	78
15.2149	65
15.2269	97
15.2388	83
15.2507	79
15.2627	87
15.2746	81
15.2866	83
15.2985	88
15.3104	87
15.3224	71
15.3343	70
15.3463	77
15.3582	78
15.3701	63
15.3821	66
15.394	75
15.406	72
15.4179	62
15.4299	78
15.4418	64
15.4537	81
15.4657	68
15.4776	77
15.4896	65
15.5015	70
15.5134	76
15.5254	62
15.5373	66
15.5493	78
15.5612	84
15.5731	74
15.5851	77
15.597	79
15.609	76
15.6209	69
15.6328	70
15.6448	68
15.6567	70
15.6687	62
15.6806	71
15.6925	83
15.7045	74
15.7164	60
15.7284	77
15.7403	74
15.7522	74
15.7642	58
15.7761	54
15.7881	75
15.8	52
15.8119	68
15.8239	65
15.8358	79
15.8478	78
15.8597	73
15.8716	62
15.8836	81
15.8955	79
15.9075	54
15.9194	88
15.9313	70
15.9433	67
15.9552	67
15.9672	82
15.9791	86
15.991	74
16.003	68
16.0149	57
16.0269	68
16.0388	66
16.0507	60
16.0627	58
16.0746	69
16.0866	75
16.0985	67
16.1104	70
16.1224	72
16.1343	82
16.1463	58
16.1582	78
16.1702	70
16.1821	66
16.194	83
16.206	64
16.2179	78
16.2299	61
16.2418	64
16.2537	62
16.2657	62
16.2776	63
16.2896	71
16.3015	72
16.3134	68
16.3254	70
16.3373	65
16.3493	50
16.3612	62
16.3731	76
16.3851	88
16.397	85
16.409	65
16.4209	75
16.4328	72
16.4448	63
16.4567	73
16.4687	55
16.4806	71
16.4925	84
16.5045	57
16.5164	63
16.5284	57
16.5403	62
16.5522	46
16.5642	65
16.5761	63
16.5881	80
16.6	55
16.6119	74
16.6239	56
16.6358	62
16.6478	63
16.6597	71
16.6716	70
16.6836	67
16.6955	66
16.7075	64
16.7194	72
16.7313	86
16.7433	63
16.7552	70
16.7672	72
16.7791	69
16.791	62
16.803	67
16.8149	63
16.8269	73
16.8388	56
16.8507	63
16.8627	66
16.8746	75
16.8866	52
16.8985	67
16.9105	67
16.9224	57
16.9343	59
16.9463	68
16.9582	57
16.9702	59
16.9821	68
16.994	63
17.006	66
17.0179	62
17.0299	81
17.0418	55
17.0537	64
17.0657	64
17.0776	70
17.0896	74
17.1015	73
17.1134	69
17.1254	69
17.1373	82
17.1493	60
17.1612	56
17.1731	61
17.1851	67
17.197	48
17.209	51
17.2209	52
17.2328	63
17.2448	82
17.2567	64
17.2687	60
17.2806	63
17.2925	53
17.3045	59
17.3164	64
17.3284	58
17.3403	66
17.3522	64
17.3642	85
17.3761	69
17.3881	69
17.4	64
17.4119	59
17.4239	74
17.4358	69
17.4478	60
17.4597	74
17.4716	70
17.4836	62
17.4955	54
17.5075	60
17.5194	63
17.5313	59
17.5433	61
17.5552	75
17.5672	56
17.5791	64
17.591	80
17.603	64
17.6149	57
17.6269	59
17.6388	45
17.6508	56
17.6627	58
17.6746	62
17.6866	64
17.6985	58
17.7105	61
17.7224	53
17.7343	63
17.7463	57
17.7582	74
17.7702	64
17.7821	70
17.794	65
17.806	46
17.8179	64
17.8299	50
17.8418	52
17.8537	65
17.8657	57
17.8776	57
17.8896	60
17.9015	58
17.9134	61
17.9254	57
17.9373	81
17.9493	53
17.9612	67
17.9731	57
17.9851	69
17.997	67
18.009	70
18.0209	61
18.0328	59
18.0448	57
18.0567	49
18.0687	56
18.0806	52
18.0925	57
18.1045	66
18.1164	54
18.1284	55
18.1403	57
18.1522	60
18.1642	64
18.1761	72
18.1881	64
18.2	67
18.2119	65
18.2239	78
18.2358	52
18.2478	53
18.2597	65
18.2716	46
18.2836	51
18.2955	58
18.3075	56
18.3194	68
18.3313	58
18.3433	62
18.3552	70
18.3672	61
18.3791	74
18.3911	64
18.403	47
18.4149	61
18.4269	66
18.4388	41
18.4508	56
18.4627	59
18.4746	71
18.4866	47
18.4985	58
18.5105	53
18.5224	59
18.5343	60
18.5463	77
18.5582	60
18.5702	63
18.5821	62
18.594	75
18.606	61
18.6179	50
18.6299	73
18.6418	64
18.6537	62
18.6657	83
18.6776	55
18.6896	56
18.7015	49
18.7134	60
18.7254	46
18.7373	58
18.7493	65
18.7612	71
18.7731	65
18.7851	69
18.797	54
18.809	68
18.8209	74
18.8328	54
18.8448	60
18.8567	64
18.8687	65
18.8806	60
18.8925	61
18.9045	50
18.9164	53
18.9284	67
18.9403	66
18.9522	58
18.9642	67
18.9761	68
18.9881	59
19	64
19.0119	62
19.0239	57
19.0358	72
19.0478	67
19.0597	86
19.0716	54
19.0836	61
19.0955	60
19.1075	57
19.1194	75
19.1314	80
19.1433	55
19.1552	66
19.1672	59
19.1791	58
19.1911	72
19.203	68
19.2149	57
19.2269	57
19.2388	59
19.2508	71
19.2627	57
19.2746	61
19.2866	60
19.2985	71
19.3105	53
19.3224	65
19.3343	60
19.3463	66
19.3582	63
19.3702	58
19.3821	76
19.394	72
19.406	69
19.4179	63
19.4299	58
19.4418	69
19.4537	62
19.4657	72
19.4776	61
19.4896	74
19.5015	60
19.5134	59
19.5254	62
19.5373	50
19.5493	64
19.5612	57
19.5731	67
19.5851	58
19.597	67
19.609	50
19.6209	58
19.6328	77
19.6448	58
19.6567	65
19.6687	68
19.6806	56
19.6925	73
19.7045	66
19.7164	65
19.7284	55
19.7403	73
19.7522	63
19.7642	75
19.7761	67
19.7881	62
19.8	67
19.8119	73
19.8239	65
19.8358	62
19.8478	56
19.8597	72
19.8717	63
19.8836	63
19.8955	67
19.9075	67
19.9194	63
19.9314	62
19.9433	79
19.9552	55
19.9672	67
19.9791	75
19.9911	70
20.003	73
20.0149	62
20.0269	63
20.0388	55
20.0508	64
20.0627	67
20.0746	79
20.0866	65
20.0985	83
20.1105	75
20.1224	73
20.1343	60
20.1463	77
20.1582	73
20.1702	77
20.1821	88
20.194	68
20.206	67
20.2179	60
20.2299	82
20.2418	55
20.2537	79
20.2657	75
20.2776	78
20.2896	77
20.3015	69
20.3134	77
20.3254	68
20.3373	66
20.3493	65
20.3612	81
20.3731	70
20.3851	74
20.397	63
20.409	66
20.4209	77
20.4328	54
20.4448	51
20.4567	65
20.4687	63
20.4806	69
20.4925	61
20.5045	55
20.5164	66
20.5284	74
20.5403	56
20.5522	59
20.5642	70
20.5761	77
20.5881	60
20.6	70
20.612	81
20.6239	72
20.6358	64
20.6478	59
20.6597	63
20.6717	65
20.6836	64
20.6955	72
20.7075	71
20.7194	80
20.7314	62
20.7433	76
20.7552	91
20.7672	65
20.7791	68
20.7911	82
20.803	81
20.8149	62
20.8269	75
20.8388	67
20.8508	74
20.8627	68
20.8746	77
20.8866	80
20.8985	76
20.9105	74
20.9224	67
20.9343	89
20.9463	70
20.9582	55
20.9702	70
20.9821	76
20.994	67
21.006	79
21.0179	81
21.0299	86
21.0418	81
21.0537	78
21.0657	86
21.0776	73
21.0896	76
21.1015	81
21.1134	58
21.1254	75
21.1373	85
21.1493	81
21.1612	65
21.1731	75
21.1851	70
21.197	84
21.209	69
21.2209	73
21.2328	73
21.2448	77
21.2567	84
21.2687	81
21.2806	82
21.2925	72
21.3045	88
21.3164	72
21.3284	57
21.3403	72
21.3523	71
21.3642	82
21.3761	62
21.3881	79
21.4	67
21.412	100
21.4239	85
21.4358	69
21.4478	73
21.4597	79
21.4717	79
21.4836	73
21.4955	70
21.5075	82
21.5194	81
21.5314	91
21.5433	74
21.5552	83
21.5672	76
21.5791	87
21.5911	86
21.603	83
21.6149	90
21.6269	90
21.6388	80
21.6508	91
21.6627	94
21.6746	71
21.6866	79
21.6985	98
21.7105	86
21.7224	81
21.7343	90
21.7463	84
21.7582	82
21.7702	71
21.7821	82
21.794	76
21.806	67
21.8179	93
21.8299	87
21.8418	78
21.8537	88
21.8657	80
21.8776	74
21.8896	73
21.9015	79
21.9134	87
21.9254	85
21.9373	78
21.9493	73
21.9612	88
21.9731	74
21.9851	95
21.997	80
22.009	71
22.0209	95
22.0328	92
22.0448	107
22.0567	78
22.0687	79
22.0806	94
22.0926	76
22.1045	86
22.1164	79
22.1284	84
22.1403	95
22.1523	95
22.1642	73
22.1761	84
22.1881	74
22.2	93
22.212	87
22.2239	79
22.2358	96
22.2478	81
22.2597	65
22.2717	88
22.2836	60
22.2955	79
22.3075	89
22.3194	80
22.3314	73
22.3433	66
22.3552	79
22.3672	91
22.3791	86
22.3911	78
22.403	75
22.4149	78
22.4269	90
22.4388	76
22.4508	61
22.4627	74
22.4746	72
22.4866	74
22.4985	72
22.5105	71
22.5224	78
22.5343	73
22.5463	80
22.5582	64
22.5702	84
22.5821	78
22.594	86
22.606	87
22.6179	89
22.6299	88
22.6418	79
22.6537	74
22.6657	76
22.6776	77
22.6896	68
22.7015	71
22.7134	77
22.7254	92
22.7373	75
22.7493	90
22.7612	87
22.7731	78
22.7851	75
22.797	77
22.809	89
22.8209	64
22.8328	81
22.8448	78
22.8567	83
22.8687	65
22.8806	73
22.8926	78
22.9045	92
22.9164	84
22.9284	88
22.9403	54
22.9523	74
22.9642	79
22.9761	72
22.9881	91
23	71
23.012	78
23.0239	83
23.0358	76
23.0478	93
23.0597	88
23.0717	85
23.0836	76
23.0955	76
23.1075	78
23.1194	62
23.1314	71
23.1433	93
23.1552	89
23.1672	76
23.1791	73
23.1911	90
23.203	73
23.2149	63
23.2269	93
23.2388	80
23.2508	84
23.2627	69
23.2746	80
23.2866	77
23.2985	72
23.3105	72
23.3224	65
23.3343	75
23.3463	76
23.3582	79
23.3702	81
23.3821	91
23.394	57
23.406	73
23.4179	74
23.4299	61
23.4418	75
23.4537	83
23.4657	73
23.4776	77
23.4896	84
23.5015	68
23.5134	63
23.5254	81
23.5373	71
23.5493	78
23.5612	68
23.5731	83
